order_id,date,category,city,payment_method,status,unit_price,quantity,revenue,month,month_n,quarter
ORD-1000,2023-05-17,Fashion,Bandung,E-Wallet,Completed,311820,3,935460,2023-05,5,Q2
ORD-1001,2023-12-14,Electronics,Yogyakarta,Credit Card,Completed,1748736,2,3497472,2023-12,12,Q4
ORD-1002,2023-09-25,Sports,Medan,COD,Completed,357969,4,1431876,2023-09,9,Q3
ORD-1003,2023-08-07,Electronics,Jakarta,E-Wallet,Returned,2571800,1,0,2023-08,8,Q3
ORD-1004,2023-02-26,Fashion,Jakarta,Credit Card,Completed,363312,2,726624,2023-02,2,Q1
ORD-1005,2023-02-26,Home & Living,Jakarta,COD,Completed,780990,1,780990,2023-02,2,Q1
ORD-1006,2023-01-22,Fashion,Surabaya,Bank Transfer,Completed,141054,4,564216,2023-01,1,Q1
ORD-1007,2023-11-13,Home & Living,Surabaya,Credit Card,Completed,625707,1,625707,2023-11,11,Q4
ORD-1008,2023-08-08,Electronics,Bandung,E-Wallet,Completed,3038846,1,3038846,2023-08,8,Q3
ORD-1009,2023-09-16,Beauty & Health,Jakarta,Credit Card,Completed,363415,5,1817075,2023-09,9,Q3
ORD-1010,2023-01-08,Electronics,Jakarta,E-Wallet,Cancelled,3408221,1,0,2023-01,1,Q1
ORD-1011,2023-12-21,Electronics,Surabaya,E-Wallet,Completed,2937101,1,2937101,2023-12,12,Q4
ORD-1012,2023-10-31,Sports,Medan,COD,Completed,989360,4,3957440,2023-10,10,Q4
ORD-1013,2023-03-19,Electronics,Jakarta,Bank Transfer,Completed,1747969,1,1747969,2023-03,3,Q1
ORD-1014,2023-03-08,Beauty & Health,Bandung,Bank Transfer,Completed,271155,1,271155,2023-03,3,Q1
ORD-1015,2023-03-08,Fashion,Jakarta,E-Wallet,Completed,132039,2,264078,2023-03,3,Q1
ORD-1016,2023-04-22,Fashion,Semarang,Credit Card,Completed,128478,2,256956,2023-04,4,Q2
